book_id,series,title,author_name,isbn,Number of Pages,book_format,my_library,price,year_published,genre,start_date,end_date,Average Rating,My Rating,status,Owned Copies,My Review
11,"(Magnolia Parks Universe, #1)",Magnolia Parks,Jessa Hastings,9781737281191,423,digital,no,,2021,,,,3.71,2,read,0,"Well for starters I am exhausted. I feel as though a pack of wild horses has just finished trotting over my body. I get it, this is the very bad no good horrible start to a long and great and beloved series. I know this is book is pegged as a painful hurdle to jump so that readers can get into the nitty gritty awesomeness that is the remainder of the series. HOWEVER, I think this book could’ve been 200 pages shorter.<br/><br/> I feel like Jessa Hasting herself showed up to my house, entered my bedroom, and BEAT me over the head repeatedly with the “oh he fucked up- I’m angry at him- but I love him so I will keep playing games- oh now I fucked up- let me pull my doe eyed deer face look and have everyone fall in love with me and my obnoxiousness” moments. I am concussed. I get it- they are Chernobyl level toxic. About halfway through this book it felt like small variations of the same fuck-up were being shoveled down my throat and I am TIRED. It got predictable and boring. I was not very invested in any of the characters so hopefully that changes. I also was not huge a fan of the writing. I like the abundance of dialogue and blame parts were a bit toooo straight to the point and it felt incredibly jumbled at some points. Then again, my irritation with the writing seemed to grow alongside my irritation with the same plot points happening over and over again- so perhaps they are one and the same.<br/><br/>ANYHOOO. Will I continue the series? Yes. Do I hate this book? No, but only barely."
12,"(Letters of Enchantment, #2)",Ruthless Vows,Rebecca Ross,9781250857453,420,hardcover,yes,20,2023,,,,4.02,5,read,0,
13,"(Letters of Enchantment, #1)",Divine Rivals,Rebecca Ross,9781250857439,357,hardcover,yes,18.99,2023,,,,4.18,5,read,0,
14,"(Six of Crows, #1)",Six of Crows,Leigh Bardugo,1627792120,480,hardcover,yes,24.99,2015,,,,4.47,5,read,0,
15,,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,9781683691433,404,paperback,yes,16.99,2020,,,,3.8,3,read,0,"I really enjoyed the characters, some may not like that it’s not a fast paced as maybe most horror thrillers are but I liked it (granted it was an audiobook). I laughed at quite a few lines and this book delivered on what I was expecting for the most part."
16,,And Then There Were None,Agatha Christie,B000FC1RCI,258,digital,no,,2009,,,,4.28,4,read,0,
17,"(The Empyrean, #1)",Fourth Wing,Rebecca Yarros,9781649374042,517,hardcover,yes,29.99,2023,,,,4.57,5,read,0,"EARLY 2000’s FANTASY IS BACK BABY!!! And I hear a TV show is in the works for this! Forth Wing is super fast-paced and all around fun! This book may not be for everyone, but you have to admit this is great for people who may be in a reading slump or want to explore new genres, it’s just a fun and easy read. The pacing is spot on for me and I devoured this book in a day! It was so easy to immerse myself in this universe and the world building was easy to follow and much more manageable than the standard fantasy book. Great characters, great plot, I’m excited for the next 2 books :)"
18,"(Assistant to the Villain, #1)",Assistant to the Villain,Hannah Nicole Maehrer,9798350829662,0,audio,yes,19.99,2023,,,,3.92,3,read,0,
19,,The Silent Patient,Alex Michaelides,9781250301703,359,paperback,yes,17.99,2021,,,,4.18,4,read,0,"It was a good book. I started one night and finished it the very next morning- however, I just didn’t really care about any of the characters. I’m not sure why that is, but the twists and ending were enough to still garner 4 stars from me anyway. "
20,,Verity,Colleen Hoover,9781538724736,314,paperback,yes,16.99,2021,,,,4.31,5,read,0,"I gobbled this story up in one day…the pacing for his story is incredible and the ending is something I was not expecting. I know people have their reservations and opinions about Colleen Hoover but I am glad I did not let stop me from reading this fantastic story. Put all that aside and trust that the outpouring of love for this book is genuine. When I finished the book I thought now THIS is a thriller, a romantic thriller, but a thriller nonetheless. As for the romance part- eh, I’m not entirely convinced of the connection the MMC and FMC had, especially so quickly, but I wasn’t really focused on that anyway- the storyline had me hooked. There was occasionally verbiage that made me cringe a little, or words from characters that seemed out of place and awkward- I didn’t care nearly enough to stop and the story is so damn good I don’t think I could if I tried. I laughed, I gasped, I had to take breaks to pace around my room to ponder and decompress- in short, I had a blast and I think most readers will too. <br/><br/>tldr: this romantic thriller is very thrilling! I highly recommend the read just make sure your schedule is clear for a few hours because once you pick it up, you’re not going to put it down."
21,"(Twisted, #1)",Twisted Love,Ana Huang,B0B1W263PK,0,audio,yes,17.99,2021,,,,3.72,3,read,0,"WOMP WOMP WOMP The major conflict in this book made me physically ill. There were plenty of cute moments and I recommend for anyone who loves the grumpy x sunshine trope. I just couldn’t get past the conflict to give this any more than 3 stars, it felt like a cop out, overdone, and lazy imo. However, the writing was better than I expected. Will not be continuing the series unfortunately."
22,"(Throne of Glass, #3)",Heir of Fire,Sarah J. Maas,9781639730995,592,paperback,yes,19,2023,,,,4.46,5,read,0,"This book is the literary embodiment of the training montage scene in the movie. In Heir of Fire rock music starts to play and the main character begins training to fight, getting stronger, and I loved every page of it. Also, MANON??? All I can say is wow, what a character!"
23,,For Your Own Good,Samantha  Downing,9780593100981,400,paperback,yes,17,2022,,,,3.79,4,read,0,"4.25 stars. The pacing is incredible and I loved all of the characters. The writing is straight-to-the-point, maybe even too much so. Anyway, this was a quick read and I was never once bored. Though this book isn’t as thrilling as I would have hoped, there were a few twists in there that were a pleasant surprise. I would recommend for anyone in a slump or just looking for a fun read. "
24,"(The Empyrean, #2)",Iron Flame,Rebecca Yarros,9781649374172,640,hardcover,yes,29.99,2023,,,,4.35,5,read,0,
25,"(Six of Crows, #2)",Crooked Kingdom,Leigh Bardugo,9781627792134,560,hardcover,yes,24.99,2016,,,,4.58,5,read,0,
26,,The Only One Left,Riley Sager,9780593183229,383,hardcover,yes,28,2023,,,,4.13,5,read,0,"Wow. Literally sitting here crying and smiling, what an adventure this was."
27,"(Twisted, #2)",Twisted Games,Ana Huang,B0DLT46QQL,0,audio,yes,17.99,2022,,,,4.1,4,read,0,Okay I lied I got an itch to read more of this universe the very next day- I liked it better than the first book by a decent margin. I fear I’ll have to read the whole series now.
28,"(Throne of Glass, #0.1-0.5)",The Assassin's Blade,Sarah J. Maas,9781639731091,464,paperback,yes,19,2023,,,,4.22,5,read,0,
29,"(Dreamland Billionaires, #1)",The Fine Print,Lauren Asher,B0BRLF69H2,0,audio,no,,2023,,,,3.83,4,read,0,
30,,Yellowface,R.F. Kuang,9780008532772,336,hardcover,yes,30,2023,,,,3.75,4,read,0,
31,"(The Housemaid, #2)",The Housemaid's Secret,Freida McFadden,9780349132617,352,paperback,yes,12.99,2023,,,,4.23,5,read,0,
32,"(Throne of Glass, #4)",Queen of Shadows,Sarah J. Maas,9781639731015,672,paperback,yes,19,2023,,,,4.61,5,read,0,I wish I could inhale this book.
33,"(Throne of Glass, #5)",Empire of Storms,Sarah J. Maas,9781639731039,720,paperback,yes,19,2023,,,,4.63,5,read,0,
34,"(Throne of Glass, #6)",Tower of Dawn,Sarah J. Maas,9781639731053,688,paperback,yes,19,2023,,,,4.27,5,read,0,
35,"(Throne of Glass, #7)",Kingdom of Ash,Sarah J. Maas,9781639731077,992,paperback,yes,21,2023,,,,4.7,4,read,0,
36,,Never Lie,Freida McFadden,9781728296166,304,paperback,yes,17.99,2023,,,,4.09,4,read,0,
37,,Pretty Girls,Karin Slaughter,9780062430878,432,digital,no,,2015,,,,4.03,4,read,0,
38,"(The Hunger Games, #1)",The Hunger Games,Suzanne Collins,B00KX6YURU,374,paperback,no,,2009,,,,4.34,5,read,0,
39,"(Maximum Ride, #1)",The Angel Experiment,James Patterson,978031606795,442,paperback,no,,2007,,,,4.07,5,read,0,
40,"(Matteo Alacran, #1)",The House of the Scorpion,Nancy Farmer,9780689852237,380,paperback,no,,2004,,,,4.08,5,read,0,
41,,Drama,Raina Telgemeier,9780545326995,238,paperback,yes,12.99,2012,,,,4.19,0,read,0,
42,"(Vega Jane, #1)",The Finisher,David Baldacci,9780545652209,497,hardcover,no,,2014,,,,3.82,4,read,0,
43,"(Smile, #1)",Smile,Raina Telgemeier,9780545132060,214,paperback,yes,12.99,2010,,,,4.23,5,read,0,
44,"(The Twilight Saga, #3)",Eclipse,Stephenie Meyer,9780316160209,629,hardcover,no,,2007,,,,3.73,5,read,0,
45,"(Percy Jackson and the Olympians, #1)",The Lightning Thief,Rick Riordan,786838655,377,paperback,no,,2006,,,,4.31,5,read,0,
46,"(Never After, #1)",Hooked,Emily McIntire,B09K2M1Q9N,0,audio,no,,2021,,,,3.78,2,read,0,I can’t recall one single detail about this book…
47,,You Shouldn't Have Come Here,Jeneva Rose,B0DLT3HSHM,0,audio,no,,2023,,,,3.34,1,read,0,"Let me start by saying my expectations were in the pits of hell. I wasn’t expecting much, simple premise, simple thriller, I just wanted a fun read. This is the first book I’ve read by the author and I’m not sure I’ll be open to trying another: <br/><br/>1. 85-90% of this book is wattpad romance garbage. And I LIKE an occasional trashy romance but where was the THRILL???<br/>2. The ending was offensive. The coppiest of all cop-outs in my opinion. Just lazy. Its seems as though the author wasn’t sure WHAT the hell the book was about and then smashed a bunch of nonsense into the last 2 chapters and called it a twist. <br/>3. Sheriff Almond. Yes…Almond. I laughed at first in disbelief but then I was mad.<br/>4. The characters are not that memorable or loveable in any way. In the end the twist was even less twisty because at that point I just DID NOT care and was sick of the back and forth “omg he’s so hot and sweet I need him” to “hmm that’s a bit odd I should get the hell up outta here”.<br/><br/>Anyway. Would I recommend? No. This book is like a spoiled casserole of nonsense, Tom foolery, and dissapointment"
48,"(The Ruinous Love Trilogy, #1)",Butcher & Blackbird,Brynne Weaver,B0CK8HCKVC,0,audio,no,,2023,,,,4.05,2,read,0,
49,,The Locked Door,Freida McFadden,9781666162134,0,audio,no,,2021,,,,4.02,3,read,0,
50,"(Twisted, #3)",Twisted Hate,Ana Huang,B0DLSPNJMY,0,audio,no,,2022,,,,3.97,3,read,0,
51,,I'm Glad My Mom Died,Jennette McCurdy,9781797147949,0,audio,no,,2022,,,,4.45,4,read,0,
52,"(The Brown Sisters, #3)","Act Your Age, Eve Brown",Talia Hibbert,B089SYX5F5,393,digital,no,,2021,,,,4.1,5,read,0,
53,"(The 5th Wave, #1)",The 5th Wave,Rick Yancey,9780147519085,512,paperback,no,,2013,,,,4.01,2,read,0,
54,"(The Twilight Saga, #3.5)",The Short Second Life of Bree Tanner,Stephenie Meyer,9781907411175,178,paperback,no,,2011,,,,3.52,4,read,0,
55,"(Throne of Glass, #1)",Throne of Glass ,Sarah J. Maas,B007N6JEII,428,digital,no,,2012,,,,4.18,5,read,0,
56,"(Throne of Glass, #2)",Crown of Midnight,Sarah J. Maas,B00CU7YHQY,440,digital,no,,2013,,,,4.35,4,read,0,"Very nicely done, can't wait to dive into the next one. This one was more of a roller coaster than the first and I love that!"
57,"(Divergent, #1)",Divergent,Veronica Roth,9780062024039,487,paperback,no,,2012,,,,4.14,5,read,0,
58,"(The Heroes of Olympus, #1)",The Lost Hero,Rick Riordan,9781423113393,576,hardcover,no,,2010,,,,4.3,4,read,0,
59,"(Caster Chronicles, #1)",Beautiful Creatures,Kami Garcia,9780316077033,563,paperback,no,,2010,,,,3.77,2,read,0,
60,"(Percy Jackson and the Olympians, #4)",The Battle of the Labyrinth,Rick Riordan,9780545200493,361,paperback,no,,2009,,,,4.42,4,read,0,
61,"(The Mortal Instruments, #1)",City of Bones,Cassandra Clare,9781416914280,485,hardcover,no,,2007,,,,4.07,4,read,0,
62,"(Storm and Silence, #1)",Storm and Silence,Robert Thier,B01AALOWI4,793,digital,no,,2016,,,,4.49,4,read,0,
63,"(Storm and Silence, #2)",In the Eye of the Storm,Robert Thier,B0DN2514J9,265,digital,no,,2016,,,,4.52,4,read,0,
64,,"Everything, Everything",Nicola Yoon,9780553496673,310,paperback,no,,2017,,,,3.97,3,read,0,
65,"(Divergent, #3)",Allegiant,Veronica Roth,9780062024060,526,hardcover,no,,2013,,,,3.6,3,read,0,
66,"(The Hunger Games, #3)",Mockingjay,Suzanne Collins,9780439023542,390,paperback,no,,2011,,,,4.1,4,read,0,
67,"(Maximum Ride, #6)",Fang,James Patterson,9780316036191,309,hardcover,no,,2010,,,,4.05,4,read,0,
68,"(Harry Potter, #2)",Harry Potter and the Chamber of Secrets,J.K. Rowling,B00ES27LCQ,352,hardcover,no,,1999,,,,4.43,5,read,0,
69,"(The Wolves of Mercy Falls, #1)",Shiver,Maggie Stiefvater,9780545123266,392,hardcover,no,,2009,,,,3.76,3,read,0,
70,"(Harry Potter, #1)",Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780439554930,309,hardcover,no,,2003,,,,4.47,5,read,0,
71,"(The Hunger Games, #2)",Catching Fire,Suzanne Collins,9780545310598,391,hardcover,no,,2009,,,,4.33,4,read,0,
72,"(Maximum Ride, #4)",The Final Warning,James Patterson,9780316002868,256,hardcover,no,,2008,,,,3.85,3,read,0,
73,"(The Twilight Saga, #2)",New Moon,Stephenie Meyer,9780316160193,608,hardcover,no,,2006,,,,3.6,3,read,0,
74,"(A Series of Unfortunate Events, #4)",The Miserable Mill,Lemony Snicket,9780060283155,194,hardcover,no,,2000,,,,3.86,3,read,0,
75,"(A Series of Unfortunate Events, #3)",The Wide Window,Lemony Snicket,9780060283148,224,hardcover,no,,2000,,,,3.95,3,read,0,
76,"(A Series of Unfortunate Events, #6)",The Ersatz Elevator,Lemony Snicket,9780060288891,272,hardcover,no,,2001,,,,4.05,3,read,0,
77,"(A Series of Unfortunate Events, #5)",The Austere Academy,Lemony Snicket,9780060288884,240,hardcover,no,,2000,,,,4.01,4,read,0,
78,"(Maximum Ride, #2)",School's Out—Forever,James Patterson,9781417774937,448,hardcover,no,,2007,,,,4.14,4,read,0,
79,"(A Series of Unfortunate Events, #12)",The Penultimate Peril,Lemony Snicket,9780064410151,353,hardcover,no,,2005,,,,4.08,3,read,0,
80,"(Vampire Academy, #1)",Vampire Academy,Richelle Mead,9781417808267,352,hardcover,no,,2013,,,,4.11,4,read,0,
81,"(Nancy Drew: Girl Detective Graphic Novels, #10)",The Disoriented Express,Stefan Petrucha,9781597070669,112,paperback,yes,7.95,2007,,,,3.72,4,read,0,
82,,Speak,Laurie Halse Anderson,9780141310886,202,paperback,no,,2001,,,,4.05,3,read,0,
83,"(Holes, #1)",Holes,Louis Sachar,B00QFXGZVY,233,paperback,no,,2008,,,,4,5,read,0,
84,,The Fault in Our Stars,John Green,9780141345659,313,paperback,no,,2013,,,,4.13,4,read,0,
85,"(The Selection, #1)",The Selection,Kiera Cass,9780062203137,327,paperback,no,,2012,,,,4.08,4,read,0,
86,"(If I Stay, #1)",If I Stay,Gayle Forman,9780525421030,208,paperback,no,,2009,,,,3.92,3,read,0,
87,"(The Chronicles of Vladimir Tod, #1)",Eighth Grade Bites,Heather Brewer,9780525478119,182,paperback,no,,2007,,,,3.93,3,read,0,
88,"(Maximum Ride, #3)",Saving the World and Other Extreme Sports,James Patterson,9780316154277,405,paperback,no,,2008,,,,4.14,4,read,0,
89,"(The Heroes of Olympus, #2)",The Son of Neptune,Rick Riordan,9781423140597,521,hardcover,no,,2011,,,,4.41,5,read,0,
90,"(The Twilight Saga, #1)",Twilight,Stephenie Meyer,9780316160179,498,hardcover,no,,2006,,,,3.66,4,read,0,
91,"(A Series of Unfortunate Events, #2)",The Reptile Room,Lemony Snicket,9780064407670,190,hardcover,no,,1999,,,,4.01,4,read,0,
92,"(A Series of Unfortunate Events, #9)",The Carnivorous Carnival,Lemony Snicket,9780064410120,286,hardcover,no,,2002,,,,4.01,5,read,0,
93,"(A Series of Unfortunate Events, #7)",The Vile Village,Lemony Snicket,9780060566227,272,hardcover,no,,2001,,,,3.97,4,read,0,
94,"(A Series of Unfortunate Events, #11)",The Grim Grotto,Lemony Snicket,9780064410144,323,hardcover,no,,2004,,,,4.02,4,read,0,
95,"(A Series of Unfortunate Events, #10)",The Slippery Slope,Lemony Snicket,9780064410137,337,hardcover,no,,2003,,,,4.05,5,read,0,
96,"(A Series of Unfortunate Events, #8)",The Hostile Hospital,Lemony Snicket,9781405206129,272,hardcover,no,,2003,,,,3.99,5,read,0,
97,"(Magnus Chase and the Gods of Asgard, #1)",The Sword of Summer,Rick Riordan,9781423160915,512,hardcover,no,,2015,,,,4.24,3,read,0,
98,,Ghosts,Raina Telgemeier,9780545540629,256,paperback,yes,12.99,2016,,,,4.22,4,read,0,
99,,The Outsiders,S.E. Hinton,9780140385724,180,paperback,no,,1997,,,,4.13,4,read,0,
100,"(Monument 14, #1)",Monument 14,Emmy Laybourne,B00779RMJY,304,digital,no,,2012,,,,3.9,3,read,0,
101,"(Maximum Ride, #5)",Max,James Patterson,9780446194068,271,paperback,no,,2009,,,,4.05,4,read,0,
102,"(The Hate U Give, #1)",The Hate U Give,Angie Thomas,9780062498533,464,hardcover,no,,2017,,,,4.47,5,read,0,
103,"(The Inheritance Cycle, #1)",Eragon,Christopher Paolini,9780375826689,513,hardcover,no,,2005,,,,3.95,4,read,0,
104,"(The Maze Runner, #1)",The Maze Runner,James Dashner,9780385737944,384,hardcover,no,,2009,,,,4.05,4,read,0,
105,"(The Twilight Saga, #4)",Breaking Dawn,Stephenie Meyer,9780316067928,756,hardcover,no,,2008,,,,3.74,3,read,0,
106,"(The Mortality Doctrine, #1)",The Eye of Minds,James Dashner,9780385741392,308,hardcover,no,,2013,,,,3.84,4,read,0,
107,"(Matteo Alacran, #2)",The Lord of Opium,Nancy Farmer,9781442482548,411,paperback,no,,2013,,,,3.87,5,read,0,
108,"(Divergent, #2)",Insurgent,Veronica Roth,9780007442911,525,paperback,no,,2012,,,,3.97,4,read,0,
109,"(The Maze Runner, #2)",The Scorch Trials,James Dashner,9780385738750,362,hardcover,no,,2010,,,,3.9,3,read,0,
110,"(Percy Jackson and the Olympians, #2)",The Sea of Monsters,Rick Riordan,9780786856862,279,hardcover,no,,2006,,,,4.24,4,read,0,
111,"(Daughter of Smoke & Bone, #1)",Daughter of Smoke & Bone,Laini Taylor,9780316134026,418,hardcover,no,,2011,,,,3.99,3,read,0,
112,"(Legend, #1)",Legend,Marie Lu,9780142422076,352,paperback,no,,2011,,,,4.15,4,read,0,
113,"(The Giver, #1)",The Giver,Lois Lowry,9780385732550,208,paperback,no,,2006,,,,4.12,3,read,0,
114,"(Maximum Ride, #8)",Nevermore,James Patterson,9780316101844,368,paperback,no,,2012,,,,3.89,5,read,0,
115,"(Part of Your World, #2)",Yours Truly,Abby Jimenez,9781538704394,416,paperback,yes,16.99,2023,,,,,,,,
118,"(Nancy Drew: Girl Detective Graphic Novels, #18)",City Under the Basement,Stefan Petrucha,9781597071543,96,paperback,yes,7.95,2009,,,,,,,,
119,"(Nancy Drew: Girl Detective Graphic Novels, #19)",Cliffhanger,Stefan Petrucha,B00BQCSFJO,96,paperback,yes,7.95,2009,,,,,,,,
120,"(Nancy Drew: Girl Detective Graphic Novels, #16)",What Goes Up...,Stefan Petrucha,9781597071345,96,paperback,yes,7.95,2009,,,,,,,,
121,"(Lakefront Billionaires, #1)",Love Redesigned,Lauren Asher,9781728292137,528,paperback,yes,17.99,2023,,,,,,,,
122,"(Smile, #2)",Sisters,Raina Telgemeier,9780545540605,199,paperback,yes,12.99,2014,,,,,,,,
123,"(It Ends With Us, #1)",It Ends With Us,Colleen Hoover,1668021048,386,digital,no,,2023,,,,,,,,
124,"(Elvis Cole, #18; Joe Pike, #7)",A Dangerous Man,Robert Crais,9780525535706,384,paperback,yes,9.99,2019,,,,,,,,
125,"(Percy Jackson and the Olympians, #3)",The Titan's Curse,Rick Riordan,9781423101451,312,hardcover,no,,2007,,,,,,,,
126,"(A Series of Unfortunate Events, #13)",The End,Lemony Snicket,9780064410168,353,hardcover,no,,2006,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
,,,,,,paperback,,,,,,,,,,,
